"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot"
"R_2SwCM2mt2DqUE9r",4,4,4,5,70,"sam","non-diagnostic","ND1",20,2,7,2,4.25,2.36786665509874
"R_3qPfegJCjpB5pqT",2,2,2,2,80,"sam","non-diagnostic","ND1",26,1,7,2,2,1.43586708532281
"R_2cb9gxmJxWfe289",3,3,5,3,34,"sam","non-diagnostic","ND1",24,1,7,2,3.5,0.848157338607939
"R_2AXXKnEEt0rD26o",2,2,4,3,18,"sam","non-diagnostic","ND1",22,1,7,5,2.75,-0.0567844559004068
"R_1lgggCuNIAyUErJ",4,4,4,4,50,"sam","non-diagnostic","ND1",40,2,7,2,4,1.61538987414216
"R_RlhYb8jPFbpZd97",3,2,4,5,30,"sam","non-diagnostic","ND1",18,1,7,2,3.5,0.725203834211449
"R_2y33Bu7oxsAkJ66",2,2,2,2,23,"sam","non-diagnostic","ND1",22,1,7,5,2,-0.316220352327178
"R_1kGmXrayZdkDsS7",4,1,3,4,4,"sam","non-diagnostic","ND1",37,1,7,2,3,-0.349412462313995
"R_W87wVCoz1nLpuZH",3,2,4,2,30,"sam","non-diagnostic","ND1",25,2,7,5,2.75,0.312076057289064
"R_2OVdJ9LWSNhbjCv",4,2,2,2,20,"sam","non-diagnostic","ND1",27,2,7,2,2.5,-0.13301696267629
"R_3mjz2WfoB4rCAjI",2,2,5,2,25,"sam","non-diagnostic","ND1",22,1,7,2,2.75,0.158384176793451
"R_2P576ttTSLoibZF",2,1,4,3,21,"sam","non-diagnostic","ND1",18,1,7,2,2.5,-0.102278586577167
"R_3EtARzNAKkWCuP1",3,3,3,4,10,"sam","non-diagnostic","ND1",19,2,7,2,3.25,-0.0272729467451312
"R_2QXnd7mBHFgKGMX",2,2,2,2,35,"sam","non-diagnostic","ND1",38,2,7,2,2,0.0526401608622929
"R_3R8UVujKwfhy5WA",2,2,2,2,18,"sam","non-diagnostic","ND1",31,2,5,5,2,-0.469912232822791
"R_2YP0MDZAswKmFeZ",2,2,2,2,18,"sam","non-diagnostic","ND1",23,1,3,5,2,-0.469912232822791
"R_10HrxH0CvVY5afo",4,4,4,4,52,"sam","non-diagnostic","ND1",36,1,7,5,4,1.6768666263404
"R_26nJrFI8Ulco18W",4,4,4,4,50,"sam","non-diagnostic","ND1",20,1,7,2,4,1.61538987414216
"R_27rHdgfiezueN88",1,1,1,1,11,"sam","non-diagnostic","ND1",19,2,7,5,1,-1.23591790141316
"R_1rdlNGMC81w3HmV",3,3,4,3,35,"sam","non-diagnostic","ND1",21,2,7,2,3.25,0.741186455732934
"R_2chC40Fe8SFIUcR",4,4,4,4,50,"sam","non-diagnostic","ND1",58,1,7,2,4,1.61538987414216
"R_1FOCionaPHAmgOo",5,4,6,4,49,"sam","non-diagnostic","ND1",22,2,6,5,4.75,1.99777927496542
"R_VPuml39c0OsbE2J",2,3,4,1,28,"sam","non-diagnostic","ND1",19,2,3,2,2.5,0.112890046116691
"R_C3NmdMfCAswkrpn",3,3,4,1,40,"sam","non-diagnostic","ND1",23,2,7,5,2.75,0.61945981828029
"R_bKn7IIMAfwmTUd3",4,3,4,4,50,"sam","non-diagnostic","ND1",23,2,7,5,3.75,1.47768061516803
"R_577j683rBna4Imd",2,2,3,2,24,"sam","non-diagnostic","ND1",21,1,7,2,2.25,-0.147772717253928
"R_2BfTT03l9NcJ5Ms",1,1,1,1,0,"sam","non-diagnostic","ND1",45,1,5,2,1,-1.57404003850351
"R_sOvfRccfHFgcwtH",4,3,4,2,33,"sam","non-diagnostic","ND1",21,2,7,5,3.25,0.679709703534688
"R_27jOEGBwohLqgoz",2,2,1,1,5,"sam","non-diagnostic","ND1",23,1,7,5,1.5,-1.14492964005964
"R_1f0NmXPmt6iKEdR",2,2,3,2,13,"sam","non-diagnostic","ND1",20,2,3,2,2.25,-0.485894854344276
"R_3fJXbeSaaJwku8M",3,3,3,3,15,"sam","non-diagnostic","ND1",21,2,3,2,3,-0.0112903252236464
"R_sb64lskbtM13Bpn",1,1,3,1,20,"sam","non-diagnostic","ND1",22,2,7,5,1.5,-0.683853998572802
"R_2D2Ewy6Y7Cn2KYE",3,4,5,4,50,"sam","non-diagnostic","ND1",22,2,2,5,4,1.61538987414216
"R_xhYxl8qPkUdqhYB",2,1,4,2,10,"sam","non-diagnostic","ND1",19,2,7,2,2.25,-0.578109982641644
"R_1imsC09Y3N5YGiv",2,2,3,3,20,"sam","non-diagnostic","ND1",20,2,7,2,2.5,-0.13301696267629
"R_pLYvXK09IG2fi9j",3,2,3,4,37,"sam","non-diagnostic","ND1",21,2,2,2,3,0.664953948957051
"R_PNAnWXYxijgypTH",4,4,4,4,49,"sam","non-diagnostic","ND1",28,1,7,5,4,1.58465149804303
"R_2391e9Rq39jpdUt",2,2,4,1,20,"sam","non-diagnostic","ND1",21,1,7,5,2.25,-0.270726221650418
"R_1mI8jh3bIBTiJbB",3,2,4,3,24,"sam","non-diagnostic","ND1",23,2,7,5,3,0.265355059668457
"R_3Dm0T3cGxLxiRvX",2,2,2,2,20,"sam","non-diagnostic","ND1",21,2,7,2,2,-0.408435480624546
"R_3q8VdlBEtAujUDQ",1,1,4,3,0,"sam","non-diagnostic","ND1",19,2,7,2,2.25,-0.88549374363287
"R_271NigiVHgd0I0o",2,2,3,3,20,"sam","non-diagnostic","ND1",22,1,7,2,2.5,-0.13301696267629
"R_2tmO4i9uYDXaz4m",3,3,3,3,28,"sam","non-diagnostic","ND1",18,1,7,2,3,0.388308564064947
"R_2cpYzJib9guycCu",4,3,2,3,38,"sam","non-diagnostic","ND1",20,2,7,2,3,0.695692325056173
"R_2QsaHF5ak9E8Alz",4,4,3,3,31,"sam","non-diagnostic","ND1",31,1,7,3,3.5,0.755942210310571
"R_2b3qHxjBNyOGF2u",3,2,4,2,19,"sam","non-diagnostic","ND1",19,2,7,2,2.75,-0.0260460798012842
"R_8dEZklfxhYw8EbD",2,1,3,1,15,"sam","non-diagnostic","ND1",20,3,7,2,1.75,-0.699836620094287
"R_3QMHyRDPdwyptrJ",1,1,3,3,24,"sam","non-diagnostic","ND1",39,1,7,2,2,-0.285481976228056
"R_1puuHhAwaMUUIzr",4,4,4,3,50,"sam","non-diagnostic","ND1",50,1,7,2,3.75,1.47768061516803
"R_p4s55QVRTtG5qox",3,1,3,2,11,"sam","non-diagnostic","ND1",18,3,7,5,2.25,-0.547371606542521
"R_2wtdIpwo78WpFuT",1,1,1,1,10,"sam","non-diagnostic","ND1",40,1,5,2,1,-1.26665627751228
"R_3MKaXB9hIDnuzne",1,1,4,3,16,"sam","non-diagnostic","ND1",21,2,7,2,2.25,-0.393679726046908
"R_1cTxd4sYuNc7Edh",1,1,1,1,2,"sam","non-diagnostic","ND1",19,1,2,5,1,-1.51256328630527
"R_2YbUNMcpwA6naYB",2,2,4,3,25,"sam","non-diagnostic","ND1",52,1,7,2,2.75,0.158384176793451
"R_2CmkyY8ti8ZwpuT",2,3,3,2,30,"sam","non-diagnostic","ND1",22,1,7,5,2.5,0.174366798314936
"R_2SGOSVR6Bhqxwpu",3,2,2,1,20,"sam","non-diagnostic","ND1",20,1,7,5,2,-0.408435480624546
"R_sToIzj9rrUAntdf",4,4,5,4,60,"sam","non-diagnostic","ND1",29,1,7,5,4.25,2.06048289410751
"R_2f3Qen9MgN5mWVu",3,3,3,3,38,"sam","non-diagnostic","ND1",18,2,4,2,3,0.695692325056173
"R_wWWPyDSOY4xpplL",4,2,3,3,30,"sam","non-diagnostic","ND1",26,2,7,5,3,0.449785316263192
"R_RqW9FQtLAJ3Gbex",4,4,3,3,50,"sam","non-diagnostic","ND1",22,2,7,5,3.5,1.3399713561939
"R_3R7o4bzJBQG5d6l",2,2,3,3,21,"sam","non-diagnostic","ND1",21,2,7,2,2.5,-0.102278586577167
"R_O7FWukit3MgqRpv",2,2,4,3,18,"sam","non-diagnostic","ND1",19,2,2,5,2.75,-0.0567844559004068
"R_1dFzn8BMjgbSWgL",1,2,5,1,4,"sam","non-diagnostic","ND1",19,1,4,2,2.25,-0.762540239236379
"R_2zG9f3nCYpONCeG",2,1,2,2,14,"sam","non-diagnostic","ND1",19,1,7,2,1.75,-0.73057499619341
"R_3QMCaI7sqXBLxoF",3,3,3,3,30,"sam","non-diagnostic","ND1",23,2,7,2,3,0.449785316263192
"R_cFJY2XjpJnFgelP",4,3,4,4,50,"sam","non-diagnostic","ND1",23,1,7,2,3.75,1.47768061516803
"R_RVqNK7voR5Q26mR",2,2,2,2,20,"sam","non-diagnostic","ND1",47,1,7,2,2,-0.408435480624546
"R_3QVSktb3xTMujXo",1,1,2,2,15,"sam","non-diagnostic","ND1",21,1,7,5,1.5,-0.837545879068415
"R_3JoxymPMz5ZU19f",2,2,3,3,10,"sam","non-diagnostic","ND1",21,1,7,2,2.5,-0.440400723667516
"R_2CCFpKJ0WRPKVnS",1,1,3,3,14,"sam","non-diagnostic","ND1",23,2,7,2,2,-0.592865737219282
"R_338xFhsQ9SobesE",1,1,1,1,18,"sam","non-diagnostic","ND1",25,2,7,5,1,-1.0207492687193
"R_11i0UReCMCVtra8",1,1,2,2,10,"sam","non-diagnostic","ND1",42,1,7,2,1.5,-0.991237759564028
"R_1kS5puhMPXekyEp",3,2,2,3,20,"sam","non-diagnostic","ND1",19,2,2,2,2.5,-0.13301696267629
"R_OvYw5HhCTWSjrbj",2,3,4,2,12,"sam","non-diagnostic","ND1",25,2,7,2,2.75,-0.241214712495142
"R_x3odebxFPDTwSZ3",4,4,3,4,47,"sam","non-diagnostic","ND1",49,2,7,5,3.75,1.38546548687066
"R_3nNa2f6PfkUzxaa",3,3,2,4,28,"sam","non-diagnostic","ND1",19,2,5,5,3,0.388308564064947
"R_2sbh6O1d212PWGq",2,1,1,1,0,"sam","non-diagnostic","ND1",35,2,7,5,1.25,-1.43633077952938
"R_3dScrbtmTCEXINu",2,2,4,2,12,"sam","non-diagnostic","ND1",22,2,7,2,2.5,-0.37892397146927
"R_3oGEN5wC575bcGs",2,2,3,3,9,"sam","non-diagnostic","ND1",21,2,6,2,2.5,-0.471139099766638
"R_Y5pMytLkiNAFFmx",1,2,4,3,6,"sam","non-diagnostic","ND1",21,2,7,5,2.5,-0.563354228064006
"R_2ClJl4hdAaeVhhu",3,4,4,4,50,"sam","non-diagnostic","ND1",51,1,7,5,3.75,1.47768061516803
"R_DCu76RcZVLmA4WR",4,4,4,4,56,"sam","non-diagnostic","ND1",62,4,7,5,4,1.79982013073689
"R_3lGoCwlOpwSlmSh",2,2,2,2,19,"sam","non-diagnostic","ND1",41,2,7,2,2,-0.439173856723669
"R_3MbtmJOTk8Dcomo",2,2,2,2,6,"sam","non-diagnostic","ND1",21,2,7,2,2,-0.838772746012262
"R_yORjeJw0I4xgLaV",1,1,1,1,0,"sam","non-diagnostic","ND1",31,2,7,5,1,-1.57404003850351
"R_2XmQK9zsV6muZf8",2,2,1,3,6,"sam","non-diagnostic","ND1",21,2,7,5,2,-0.838772746012262
"R_3qI198L6sY5gotX",1,2,2,2,32,"sam","non-diagnostic","ND1",20,2,7,2,1.75,-0.177284226409203
"R_T1O3FZSrHLy2vDj",2,2,3,2,24,"sam","non-diagnostic","ND1",20,2,7,5,2.25,-0.147772717253928
"R_2XcIqftrMOQowxe",2,2,4,3,20,"sam","non-diagnostic","ND1",21,3,7,5,2.75,0.00469229629783841
"R_2z5sBKLixqH1r5H",3,3,4,4,30,"sam","non-diagnostic","ND1",22,2,7,2,3.5,0.725203834211449
"R_1ezRlpT9m6dXTYI",3,3,4,3,30,"sam","non-diagnostic","ND1",21,2,7,5,3.25,0.587494575237321
"R_2YsOxis9k6FIFqh",2,1,2,3,20,"sam","non-diagnostic","ND1",19,1,6,5,2,-0.408435480624546
"R_3Mzp4BXXIG9SnzA",1,1,3,3,3,"sam","non-diagnostic","ND1",26,2,7,5,2,-0.93098787430963
